"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"VWA2","  6","163"," 18","260","0.26537422317328","0.949148852110599"
"VWA3A","  7","162"," 20","258","0.267524115306388","0.949148852110599"
"VWA3B","  9","160"," 37","241","0.0112961655548539","0.556152871517475"
"VWA5A","  9","160"," 25","253","0.217091910815737","0.918488975969745"
"VWA7","  6","163"," 14","264","0.61648674666399","1"
"VWA8","  4","165"," 25","253","0.0104701274311799","0.551158982089562"
"VWA9","  3","166","  6","272","0.999999999999998","1"
"VWC2","  7","162","  2","276","0.0314831388072805","0.641621884451483"
"VWC2L","  7","162"," 17","261","0.495842521080457","1"
"VWCE","  1","168"," 13","265","0.0336606047427446","0.641621884451483"
"VWF"," 19","150"," 51","227","0.0615582399170067","0.721981823782294"
"WAC","  2","167","  6","272","0.699518850960407","1"
"WAPAL","  4","165","  9","269","0.809641829012585","1"
"WARS","  4","165","  4","274","0.726519091494007","1"
"WARS2","  2","167","  5","273","0.908349341118826","1"
"WAS","  5","164","  7","271","1","1"
"WASF1","  1","168","  7","271","0.261990128632664","0.949148852110599"
"WASF2","  2","167"," 10","268","0.218986051780858","0.918488975969745"
"WASF3","  5","164"," 13","265","0.517188578783122","1"
"WASF4P","  4","165"," 12","266","0.415983397805185","1"
"WASL","  2","167","  7","271","0.530748471454201","1"
"WBP1","  3","166","  2","276","0.571799443202513","1"
"WBP11","  5","164","  7","271","1","1"
"WBP11P1"," 14","155"," 35","243","0.208790309711717","0.918488975969745"
"WBP1L","  2","167","  4","274","0.999999999999998","1"
"WBP2NL","  2","167","  9","269","0.296308464224681","0.949148852110599"
"WBP4","  1","168","  6","272","0.367718773581616","1"
"WBSCR16","  1","168","  6","272","0.367718773581616","1"
"WBSCR17"," 14","155"," 51","227","0.00530796973774124","0.47216356731926"
"WBSCR27","  1","168","  2","276","0.999999999999999","1"
"WBSCR28","  6","163","  8","270","0.907744835795785","1"
"WDFY2","  1","168","  2","276","0.999999999999999","1"
"WDFY3"," 11","158"," 30","248","0.176330184800017","0.883477940569606"
"WDHD1","  2","167","  6","272","0.699518850960407","1"
"WDPCP","  1","168"," 10","268","0.0941365412071712","0.757847640476094"
"WDR1","  3","166","  8","270","0.67829183294966","1"
"WDR12","  2","167","  4","274","0.999999999999998","1"
"WDR13","  1","168","  4","274","0.717302983522395","1"
"WDR17","  7","162"," 21","257","0.214128845457875","0.918488975969745"
"WDR18","  3","166","  4","274","1","1"
"WDR19","  4","165","  8","270","0.982227814027532","1"
"WDR20","  1","168","  4","274","0.717302983522395","1"
"WDR24","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"WDR25","  3","166","  8","270","0.67829183294966","1"
"WDR27","  3","166","  7","271","0.853088879204452","1"
"WDR3","  3","166"," 10","268","0.411442908611441","1"
"WDR31","  1","168","  8","270","0.186398733431085","0.883477940569606"
"WDR33","  7","162"," 22","256","0.170104774486225","0.883477940569606"
"WDR35","  3","166","  8","270","0.67829183294966","1"
"WDR36","  3","166"," 13","265","0.180748220410221","0.883477940569606"
"WDR4","  1","168","  5","273","0.514815337354971","1"
"WDR41","  2","167","  6","272","0.699518850960407","1"
"WDR44","  8","161","  8","270","0.446222940988263","1"
"WDR46","  1","168","  6","272","0.367718773581616","1"
"WDR47","  1","168"," 10","268","0.0941365412071712","0.757847640476094"
"WDR48","  4","165","  5","273","0.946119881195095","1"
"WDR49"," 13","156"," 41","237","0.0384551290165577","0.685742481328244"
"WDR54","  1","168","  3","275","0.989831728180177","1"
"WDR59","  7","162"," 16","262","0.597537347156455","1"
"WDR5B","  1","168","  2","276","0.999999999999999","1"
"WDR6","  5","164"," 16","262","0.260757305638382","0.949148852110599"
"WDR60","  3","166","  7","271","0.853088879204452","1"
"WDR61","  1","168","  1","277","1","1"
"WDR62","  8","161","  9","269","0.584352246129267","1"
"WDR63","  4","165"," 11","267","0.525863630332","1"
"WDR64","  3","166"," 16","262","0.0749210651940652","0.757847640476094"
"WDR66","  3","166"," 12","266","0.239607074950008","0.949148852110599"
"WDR7","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"WDR70","  4","165","  5","273","0.946119881195095","1"
"WDR72"," 13","156"," 32","246","0.254721810953581","0.949148852110599"
"WDR73","  1","168","  0","278","0.801257783137453","1"
"WDR74","  1","168","  8","270","0.186398733431085","0.883477940569606"
"WDR75","  5","164","  6","272","0.829929426442624","1"
"WDR76","  1","168","  4","274","0.717302983522395","1"
"WDR78","  4","165"," 11","267","0.525863630332","1"
"WDR81","  2","167","  4","274","0.999999999999998","1"
"WDR82","  2","167","  2","276","1","1"
"WDR83OS","  1","168","  2","276","0.999999999999999","1"
"WDR86","  3","166","  5","273","0.999999999999998","1"
"WDR88","  5","164","  6","272","0.829929426442624","1"
"WDR90","  7","162"," 13","265","0.976843610253101","1"
"WDR91","  8","161"," 20","258","0.401047692512137","1"
"WDR93","  4","165"," 16","262","0.14861115899602","0.848815341542669"
"WDSUB1","  1","168","  3","275","0.989831728180177","1"
"WDTC1","  2","167","  7","271","0.530748471454201","1"
"WDYHV1","  2","167","  0","278","0.276975847011195","0.949148852110599"
"WEE1","  2","167","  4","274","0.999999999999998","1"
"WEE2","  4","165"," 19","259","0.06395404726124","0.721981823782294"
