"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"MRRF"," 1","106"," 3","168","0.967330798322832","1"
"MRS2"," 4","103"," 0","171","0.0424384823215139","1"
"MRTO4"," 1","106"," 1","170","0.999999999999998","1"
"MRVI1"," 4","103"," 4","167","0.756327580501328","1"
"MS4A1"," 1","106"," 2","169","0.999999999999989","1"
"MS4A10"," 1","106"," 3","168","0.967330798322832","1"
"MS4A12"," 2","105"," 1","170","0.680353679627556","1"
"MS4A14"," 5","102"," 4","167","0.470610920420767","1"
"MS4A15"," 1","106"," 0","171","0.812659244996201","1"
"MS4A5"," 1","106"," 0","171","0.812659244996201","1"
"MS4A6A"," 1","106"," 2","169","0.999999999999989","1"
"MSANTD1"," 1","106"," 2","169","0.999999999999989","1"
"MSANTD2"," 2","105"," 1","170","0.680353679627556","1"
"MSANTD3"," 2","105"," 2","169","0.999999999999998","1"
"MSANTD4"," 8"," 99"," 2","169","0.0156599187921583","1"
"MSC"," 6","101"," 4","167","0.274440673629528","1"
"MSGN1"," 2","105"," 0","171","0.286865559264561","1"
"MSH2"," 3","104"," 4","167","0.999999999999997","1"
"MSH3"," 7","100"," 2","169","0.0344851247919626","1"
"MSH4"," 1","106"," 4","167","0.693814107308467","1"
"MSH5"," 3","104"," 2","169","0.593473499958091","1"
"MSH6"," 6","101"," 6","165","0.592979145315639","1"
"MSI1"," 1","106"," 3","168","0.967330798322832","1"
"MSI2"," 2","105"," 1","170","0.680353679627556","1"
"MSL1"," 2","105"," 2","169","0.999999999999998","1"
"MSL2"," 4","103"," 3","168","0.52612126455169","1"
"MSL3"," 3","104"," 4","167","0.999999999999997","1"
"MSLN"," 4","103"," 3","168","0.52612126455169","1"
"MSLNL"," 3","104"," 1","170","0.320164865085647","1"
"MSMB"," 1","106"," 0","171","0.812659244996201","1"
"MSMO1"," 2","105"," 1","170","0.680353679627556","1"
"MSN"," 4","103"," 3","168","0.52612126455169","1"
"MSR1"," 4","103"," 7","164","0.999999999999997","1"
"MSRA"," 1","106"," 0","171","0.812659244996201","1"
"MSRB1"," 1","106"," 1","170","0.999999999999998","1"
"MSRB2"," 1","106"," 0","171","0.812659244996201","1"
"MSRB3"," 3","104"," 0","171","0.108492141381498","1"
"MSS51"," 1","106"," 3","168","0.967330798322832","1"
"MST1"," 3","104"," 1","170","0.320164865085647","1"
"MST1P2"," 4","103"," 7","164","0.999999999999997","1"
"MST1R"," 3","104"," 4","167","0.999999999999997","1"
"MSTN"," 2","105"," 1","170","0.680353679627556","1"
"MSTO1"," 2","105"," 2","169","0.999999999999998","1"
"MT1A"," 1","106"," 1","170","0.999999999999998","1"
"MT1F"," 1","106"," 0","171","0.812659244996201","1"
"MT1H"," 5","102"," 3","168","0.294814949816856","1"
"MT1HL1"," 3","104"," 1","170","0.320164865085647","1"
"MT1L"," 1","106"," 1","170","0.999999999999998","1"
"MT1M"," 1","106"," 4","167","0.693814107308467","1"
"MT1X"," 4","103"," 3","168","0.52612126455169","1"
"MT3"," 1","106"," 0","171","0.812659244996201","1"
